"user_id","total_spent","number_of_scans"
"61c520027ef94f1a020b70aa",23.73,6
"5e333a23d92b631337e5c0b1",23.65,6
"60076103e521fc12efc60559",23.65,6
"6672d0b586cc41b000cc096b",23.54,6
"5e3c6fa2e4d83013329244a1",23.26,6
"63191cedb2906b770eadb18f",23.24,6
"642c4ea13d4434e63c19f750",23.18,6
"626c4d73283e195930fbd0e0",23.14,6
"63de64b1dcb50fbd3084f142",23.12,6
"6186eea2f998e47aad2e03bf",23.07,6
"5e097489cb322c11de5f1d52",23.00,6
"5a605476e4b00bcc4ccde40c",22.97,6
"6670d7be465f309038ab84ad",22.95,6
"61f6d134a04389107533c895",22.85,6
"5f8a5db48aadc01640704d9a",22.80,6
"5fef43d921684312584584f7",22.76,6
"5eb59ed05e933113b3ed3d9e",22.71,6
"628b89a93728aa2d741a66c7",22.70,6
"5f1202d71363241483052ab9",22.64,6
"6482536e9d0c925cdc8f1d9b",22.62,6
"60e3b718ad1acf18cef074e7",22.61,6
"629b9f47d966665570337249",22.58,6
"63bcb48b3d310dceeac1c286",22.57,6
"64a1b70ee59a088dc6e18a05",22.56,6
"6313b59fb2906b770ea84430",22.54,6
"6473e24e7a342372c85928e0",22.46,6
"5e1953a9cb322c11de63c5cc",22.44,6
"620970a4cf52e347ba6a0356",22.44,6
"63f3b913a4f8442c33804cda",22.38,6
"61bca3be6436633e278fda2e",22.38,6
"5e2c7a5325df9513182654b0",22.36,6
"622b5afc1df8de746bc44198",22.34,6
"6453ed399f7c516a13f3d9f2",22.32,6
"5ecfa4508b2f2d13dcff9bb2",22.26,6
"63e96fd818d26a8e6a5c00ab",22.23,6
"61ed07370605d0323d86d821",22.17,6
"5e08df26fa89011209ea6688",22.13,6
"62e33bd9a6565cf0534b0290",22.13,6
"5f9dd8838f5f77168eff7883",22.08,6
"63fce297a4f8442c3386bd93",22.06,6
"5bff407fde66b657a06db6ee",21.96,6
"64c1bb860617f5214e9a6747",21.96,6
"620967c18bdb9b3d4010184a",21.94,6
"5c0c7b7db2465412c001bd34",21.94,6
"636321ba648a5c3d97c7c7e8",21.92,6
"655abd26909604bae90b453d",21.91,6
"5f2c47f87f1c3514a39b3e15",21.86,6
"649108f5127ddb5d7ffed3b4",21.82,6
"664b92c8e04f743a096a655f",21.78,6
"64480cffee6ac839f8ca1a5c",21.76,6
"59f541cbe4b0a802aa79d566",21.75,6
"6169704f7791a27d098ce3b2",21.73,6
"61e5a4b7a7bf725015061d54",21.70,6
"60f752273dcd185d04821923",21.65,6
"5e4b4ff01a900e1418a5dad6",21.58,6
"60aa809f188b926b2244c974",21.56,6
"64c5afb3c40611ceadb1b780",21.55,6
"5e84001f64b068137330b0ff",21.54,6
"62fc1ed730b23c821991ebe3",21.51,6
"635c6c9f7a9e17cb6a664b28",21.48,6
"62ca51c0348d267bb520e0d8",21.46,6
"65d267b8fe555d15f2894363",21.45,6
"61761b6580d99036ea59e14c",21.33,6
"62ce0e722cfb4591e3b9dd1c",21.32,6
"63b648043d310dceeabcbd25",21.32,6
"6392ae5f02a4e512e05c4c67",21.30,6
"62578512bb76b54a63a1e117",21.30,6
"64e64a7b0581c9c39db6e610",21.27,6
"62c4f8cabaa38d1a1f6de6ee",21.26,6
"5988e16de4b0465558c30661",21.23,6
"613bcc3101d05172c7ebc527",21.17,6
"625ecefde3a4a82bb4406be8",21.14,6
"62bee552baa38d1a1f6b8559",21.13,6
"6395fe0890ad5449ec627a47",21.01,6
"5e3f5313f8f61412f0438066",20.98,6
"63801744ae4fd936d3e29854",20.98,6
"62e75aeea6565cf0534df6aa",20.97,6
"62f81b7392710024ad00a100",51.98,4
"5fd40864a0d934474e874f71",49.27,4
"639e9e47b5f32149b9d343f6",48.73,4
"5c6f24e77191bb4ea22d0472",47.97,4
"61b6b15e8c8cd209859338e7",46.98,4
"5ebcdc2c54190013a2c589b0",44.44,4
"63778fae5fdbb03aa19ca716",40.12,4
"6585dfb699b40f103b636816",36.92,4
"65b449d9e43f8851491b7d0f",33.24,4
"65f60f647756e548cb850953",32.00,4
"6304225c2f095fa437277c83",31.92,4
"5d54536e6482b73d8956dc2e",31.75,4
"5fc47c3e831dff501fed9400",31.38,4
"63ae87ce01cb7c888c716cec",30.17,4
"5bcbeb634798ac3c1369e5d8",30.06,4
"61f7ee20ee5ba428df2f8867",29.50,4
"5fbd438509202812955fee75",28.85,4
"64c022a09b7ac0499fa57ccd",28.78,4
"5f6f8ceaccd289166b7878a0",28.55,4
"65be5e4ce43f8851491c7f33",27.88,4
"6655e739e04f743a096bb2e1",27.88,4
"62f42c15678af3b6c971ee2b",26.85,4
"5d711c64216673416de8802c",26.78,4
